pc_id,size,annotated,keys
PC_00109,35,35.0,upper_collar_connector (35)
PC_00110,34,34.0,holin (32); hypothetical_protein (2)
PC_00111,34,34.0,tail_protein_and_host_specificity (4); baseplate_hub_protein_Tal (28); hypothetical_protein (2)
PC_00112,34,34.0,endolysin (34)
PC_00113,34,34.0,holin (34)
PC_00114,34,34.0,tail_fiber_assembly (17); hypothetical_protein (11); tail_fiber_assembly_protein (6)
PC_00115,34,34.0,distal_tail_protein_Dit (16); hypothetical_protein (18)
PC_00116,34,34.0,hypothetical_protein (11); portal_protein (23)
PC_00117,34,34.0,tail_protein (34)
PC_00118,34,34.0,hypothetical_protein (34)
PC_00119,34,34.0,virion_structural_protein (34)
PC_00120,34,34.0,virion_structural_protein (34)
PC_00121,34,34.0,adaptor_Ad4 (34)
PC_00122,33,33.0,NinB/_Orf_homologous_recombination_mediator (32); hypothetical_protein (1)
PC_00123,33,33.0,baseplate_protein (32); hypothetical_protein (1)
PC_00124,33,33.0,hypothetical_protein (33)
PC_00125,33,33.0,hypothetical_protein (33)
PC_00126,33,33.0,Sak4-like_ssDNA_annealing_protein (28); hypothetical_protein (5)
PC_00127,33,33.0,Mu_Gam-like_end_protection (30); hypothetical_protein (3)
PC_00128,33,33.0,single_strand_DNA_binding_protein (32); hypothetical_protein (1)
PC_00129,33,33.0,hypothetical_protein (33)
PC_00130,33,33.0,terminase_large_subunit (33)
PC_00131,33,33.0,terminase_large_subunit (33)
PC_00132,33,33.0,hypothetical_protein (33)
PC_00133,33,33.0,terminase_large_subunit (33)
PC_00134,33,33.0,nicking_at_origin_of_replication (31); hypothetical_protein (2)
PC_00135,33,33.0,hypothetical_protein (33)
PC_00136,33,33.0,hypothetical_protein (22); transposase (11)
PC_00137,33,33.0,portal_protein (33)
PC_00138,32,32.0,minor_tail_protein (29); hypothetical_protein (3)
PC_00139,32,32.0,hypothetical_protein (32)
PC_00140,32,32.0,hypothetical_protein (32)
PC_00141,32,32.0,integrase (25); hypothetical_protein (7)
PC_00142,32,32.0,hypothetical_protein (32)
PC_00143,32,32.0,NinG/_Rap_DNA_junction_specific_endonuclease (32)
PC_00144,32,32.0,hypothetical_protein (32)
PC_00145,32,32.0,hypothetical_protein (1); major_head_protein (31)
PC_00146,32,32.0,hypothetical_protein (32)
PC_00147,32,32.0,baseplate_protein (31); hypothetical_protein (1)
PC_00148,32,32.0,hypothetical_protein (32)
PC_00149,32,32.0,hypothetical_protein (32)
PC_00150,32,32.0,minor_tail_protein (32)
PC_00151,31,31.0,endolysin (31)
PC_00152,31,31.0,tail_assembly_protein (30); tail_protein (1)
PC_00153,31,31.0,transcriptional_repressor (30); hypothetical_protein (1)
PC_00154,31,31.0,major_tail_protein (22); tail_protein (1); structural_protein_with_Ig_domain_protein (6); hypothetical_protein (1); minor_tail_protein (1)
PC_00155,31,31.0,hypothetical_protein (31)
PC_00156,31,31.0,dUTPase (29); hypothetical_protein (2)
PC_00157,31,31.0,SbcC-like_subunit_of_palindrome_specific_endonuclease (31)
PC_00158,31,31.0,hypothetical_protein (30); terminase_large_subunit (1)
PC_00159,31,31.0,hypothetical_protein (30); terminase_large_subunit (1)
PC_00160,31,31.0,anti-repressor_Ant (24); hypothetical_protein (7)
PC_00161,31,31.0,structural_protein (15); baseplate_protein (16)
PC_00162,31,31.0,HNH_endonuclease (30); hypothetical_protein (1)
PC_00163,31,31.0,terminase (31)
PC_00164,31,31.0,hypothetical_protein (3); tail_protein (28)
PC_00165,31,31.0,DksA-like_zinc-finger_protein (31)
PC_00166,31,31.0,virion_structural_protein (31)
PC_00167,31,31.0,hypothetical_protein (3); major_head_protein (28)
PC_00168,31,31.0,DNA_polymerase (31)
PC_00169,30,30.0,hypothetical_protein (30)
PC_00170,30,30.0,tail_protein_and_host_specificity (1); tail_protein (26); tail_fiber_protein (1); baseplate_hub_protein_Tal (2)
PC_00171,30,30.0,hypothetical_protein (1); baseplate_protein (29)
PC_00172,30,30.0,hypothetical_protein (30)
PC_00173,30,30.0,hypothetical_protein (30)
PC_00174,30,30.0,hypothetical_protein (30)
PC_00175,30,30.0,hypothetical_protein (2); portal_protein (28)
PC_00176,30,30.0,hypothetical_protein (30)
PC_00177,30,30.0,hypothetical_protein (30)
PC_00178,30,30.0,hypothetical_protein (5); single_strand_DNA_binding_protein (25)
PC_00179,30,30.0,hypothetical_protein (30)
PC_00180,30,30.0,hypothetical_protein (30)
PC_00181,30,30.0,minor_tail_protein (29); hypothetical_protein (1)
PC_00182,30,30.0,minor_tail_protein (30)
PC_00183,30,30.0,hypothetical_protein (30)
PC_00184,30,30.0,tail_fiber_protein (23); tail_collar_fiber_protein (5); hypothetical_protein (1); tail_spike_protein (1)
PC_00185,30,30.0,holin (30)
PC_00186,30,30.0,transcriptional_activator (30)
PC_00187,30,30.0,virion_structural_protein (29); hypothetical_protein (1)
PC_00188,30,30.0,structural_protein (30)
PC_00189,30,30.0,head_maturation_protease (29); hypothetical_protein (1)
PC_00190,30,30.0,major_head_protein (28); hypothetical_protein (2)
PC_00191,30,30.0,major_head_protein (30)
PC_00192,30,30.0,head_closure_Hc1 (30)
PC_00193,30,30.0,HNH_endonuclease (30)
PC_00194,30,30.0,hypothetical_protein (30)
PC_00195,30,30.0,virion_structural_protein (30)
PC_00196,30,30.0,major_head_protein (30)
PC_00197,30,30.0,head_maturation_protease (29); ADP-ribosyltransferase_exoenzyme_toxin (1)
PC_00198,30,30.0,DNA_polymerase (30)
PC_00199,29,29.0,exonuclease_VIII (27); exonuclease_VII (2)
PC_00200,29,29.0,hypothetical_protein (3); DnaB-like_replicative_helicase (26)
PC_00201,29,29.0,hypothetical_protein (29)
PC_00202,29,29.0,hypothetical_protein (3); head_maturation_protease (26)
PC_00203,29,29.0,hypothetical_protein (29)
PC_00204,29,29.0,replication_initiation_O-like_protein (25); hypothetical_protein (3); replication_initiation_protein (1)
PC_00205,29,29.0,ParB-like_partition_protein (16); DNA_methyltransferase (4); hypothetical_protein (4); ParB-like_partition_nuclease (5)
PC_00206,29,29.0,DNA_methyltransferase (25); hypothetical_protein (4)
PC_00207,29,29.0,hypothetical_protein (24); holin (5)
PC_00208,29,29.0,hypothetical_protein (29)
PC_00209,29,29.0,hypothetical_protein (29)
PC_00210,29,29.0,terminase_small_subunit (28); HNH_endonuclease (1)
PC_00211,29,29.0,baseplate_protein (22); hypothetical_protein (7)
PC_00212,29,29.0,hypothetical_protein (29)
PC_00213,29,29.0,head-tail_adaptor (11); hypothetical_protein (18)
PC_00214,29,29.0,hypothetical_protein (29)
PC_00215,29,29.0,hypothetical_protein (29)
PC_00216,29,29.0,hypothetical_protein (29)
PC_00217,28,28.0,hypothetical_protein (5); integrase (23)
PC_00218,28,28.0,hypothetical_protein (28)
PC_00219,28,28.0,holin (27); hypothetical_protein (1)
PC_00220,28,28.0,hypothetical_protein (28)
PC_00221,28,28.0,hypothetical_protein (28)
PC_00222,28,28.0,DNA_polymerase/primase (27); hypothetical_protein (1)
PC_00223,28,28.0,hypothetical_protein (28)
PC_00224,28,28.0,endolysin (28)
PC_00225,28,28.0,portal_protein (28)
PC_00226,28,28.0,tail_length_tape_measure_protein (10); tail_protein (10); hypothetical_protein (8)
PC_00227,28,28.0,hypothetical_protein (28)
PC_00228,28,28.0,hypothetical_protein (28)
PC_00229,28,28.0,tail_protein (28)
PC_00230,28,28.0,hypothetical_protein (28)
PC_00231,28,28.0,head_protein (28)
PC_00232,28,28.0,hypothetical_protein (28)
PC_00233,27,27.0,single_strand_DNA_binding_protein (27)
PC_00234,27,27.0,hypothetical_protein (27)
PC_00235,27,27.0,hypothetical_protein (27)
PC_00236,27,27.0,UvsX-like_recombinase (25); hypothetical_protein (1); DNA_repair_protein (1)
PC_00237,27,27.0,terminase_large_subunit (27)
PC_00238,27,27.0,hypothetical_protein (27)
PC_00239,27,27.0,tail_sheath (26); hypothetical_protein (1)
PC_00240,27,27.0,holin (26); hypothetical_protein (1)
PC_00241,27,27.0,major_tail_protein (26); hypothetical_protein (1)
PC_00242,27,27.0,hypothetical_protein (27)
PC_00243,27,27.0,portal_protein (22); hypothetical_protein (5)
PC_00244,27,27.0,HNH_endonuclease (26); hypothetical_protein (1)
PC_00245,27,27.0,adaptor_Ad4 (27)
PC_00246,27,27.0,portal_protein (26); hypothetical_protein (1)
PC_00247,27,27.0,tail_protein (25); hypothetical_protein (2)
PC_00248,27,27.0,portal_protein (25); RNA_ligase (2)
PC_00249,27,27.0,DNA_polymerase (26); hypothetical_protein (1)
PC_00250,27,27.0,tail_assembly_chaperone (27)
PC_00251,27,27.0,minor_head_protein (26); hypothetical_protein (1)
PC_00252,26,26.0,RusA-like_Holliday_junction_resolvase (25); hypothetical_protein (1)
PC_00253,26,26.0,hypothetical_protein (26)
PC_00254,26,26.0,hypothetical_protein (26)
PC_00255,26,26.0,hypothetical_protein (26)
PC_00256,26,26.0,hypothetical_protein (21); holin (5)
PC_00257,26,26.0,exonuclease (24); hypothetical_protein (2)
PC_00258,26,26.0,terminase_large_subunit (25); hypothetical_protein (1)
PC_00259,26,26.0,hypothetical_protein (26)
PC_00260,26,26.0,DNA_helicase (25); hypothetical_protein (1)
PC_00261,26,26.0,hypothetical_protein (18); transcriptional_regulator (8)
PC_00262,26,26.0,terminase (25); hypothetical_protein (1)
PC_00263,26,26.0,terminase (25); hypothetical_protein (1)
PC_00264,26,26.0,DNA_primase (26)
PC_00265,26,26.0,single_strand_DNA_binding_protein (17); hypothetical_protein (9)
PC_00266,26,26.0,Erf-like_ssDNA_annealing_protein (25); hypothetical_protein (1)
PC_00267,26,26.0,terminase_large_subunit (26)
PC_00268,26,26.0,endonuclease (26)
PC_00269,26,26.0,Gp2.5-like_ssDNA_binding_protein_and_ssDNA_annealing_protein (26)
PC_00270,26,26.0,endolysin (25); baseplate_hub_subunit_and_tail_lysozyme (1)
PC_00271,26,26.0,hypothetical_protein (26)
PC_00272,26,26.0,integrase (25); hypothetical_protein (1)
PC_00273,25,25.0,hypothetical_protein (25)
PC_00274,25,25.0,nucleotide_kinase (25)
PC_00275,25,25.0,hypothetical_protein (25)
PC_00276,25,25.0,head_maturation_protease (23); hypothetical_protein (2)
PC_00277,25,25.0,hypothetical_protein (25)
PC_00278,25,25.0,hypothetical_protein (25)
PC_00279,25,25.0,tail_completion_or_Neck1_protein (21); hypothetical_protein (4)
PC_00280,25,25.0,hypothetical_protein (25)
PC_00281,25,25.0,hypothetical_protein (9); tail_fiber_protein (8); tail_protein (5); tail_collar_fiber_protein (3)
PC_00282,25,25.0,hypothetical_protein (24); transcriptional_repressor (1)
PC_00283,25,25.0,hypothetical_protein (1); tail_protein (23); tail_fiber_protein (1)
PC_00284,25,25.0,tail_protein (25)
PC_00285,24,24.0,hypothetical_protein (24)
PC_00286,24,24.0,HNH_endonuclease (24)
PC_00287,24,24.0,hypothetical_protein (1); DnaD-like_helicase_loader (21); replication_initiation_protein (2)
PC_00288,24,24.0,hypothetical_protein (24)
PC_00289,24,24.0,tail_completion_or_Neck1_protein (20); hypothetical_protein (4)
PC_00290,24,24.0,Erf-like_ssDNA_annealing_protein (24)
PC_00291,24,24.0,holin (24)
PC_00292,24,24.0,tail_fiber_protein (11); hypothetical_protein (13)
PC_00293,24,24.0,head_morphogenesis (21); hypothetical_protein (3)
PC_00294,24,24.0,tail_fiber_protein (24)
PC_00295,24,24.0,single_strand_DNA_binding_protein (24)
PC_00296,24,24.0,hypothetical_protein (16); tail_length_tape_measure_protein (8)
PC_00297,24,24.0,hypothetical_protein (24)
PC_00298,24,24.0,tail_protein (20); hypothetical_protein (4)
PC_00299,24,24.0,tail_protein (24)
PC_00300,24,24.0,terminase_small_subunit (24)
PC_00301,24,24.0,tail_completion_or_Neck1_protein (19); hypothetical_protein (5)
PC_00302,24,24.0,hypothetical_protein (3); head_maturation_protease (21)
PC_00303,24,24.0,hypothetical_protein (2); DNA_polymerase (22)
PC_00304,24,24.0,major_head_protein (24)
PC_00305,24,24.0,hypothetical_protein (24)
PC_00306,24,24.0,terminase_small_subunit (23); hypothetical_protein (1)
PC_00307,24,24.0,terminase_large_subunit (23); hypothetical_protein (1)
PC_00308,24,24.0,hypothetical_protein (24)
PC_00309,24,24.0,hypothetical_protein (24)
PC_00310,24,24.0,upper_collar_connector (24)
PC_00311,24,24.0,hypothetical_protein (24)
PC_00312,23,23.0,hypothetical_protein (6); transcriptional_regulator (2); transcriptional_repressor (15)
PC_00313,23,23.0,hypothetical_protein (23)
PC_00314,23,23.0,transcriptional_repressor (23)
PC_00315,23,23.0,hypothetical_protein (1); head_morphogenesis (22)
PC_00316,23,23.0,virion_structural_protein (23)
PC_00317,23,23.0,hypothetical_protein (23)
PC_00318,23,23.0,hypothetical_protein (20); tail_protein (2); minor_head_protein (1)
PC_00319,23,23.0,hypothetical_protein (23)
PC_00320,23,23.0,SbcD-like_subunit_of_palindrome_specific_endonuclease (21); hypothetical_protein (2)
PC_00321,23,23.0,minor_tail_protein (21); hypothetical_protein (2)
PC_00322,23,23.0,transglycosylase (22); hypothetical_protein (1)
PC_00323,23,23.0,hypothetical_protein (23)
PC_00324,23,23.0,portal_protein (20); hypothetical_protein (3)
PC_00325,23,23.0,terminase_small_subunit (21); hypothetical_protein (2)
PC_00326,23,23.0,structural_protein (21); hypothetical_protein (2)
PC_00327,23,23.0,hypothetical_protein (23)
PC_00328,23,23.0,head_maturation_protease (23)
PC_00329,23,23.0,hypothetical_protein (23)
PC_00330,23,23.0,tail_protein (20); hypothetical_protein (3)
PC_00331,23,23.0,Cox-like_excisionase_and_repressor (23)
PC_00332,23,23.0,endolysin (23)
PC_00333,23,23.0,tail_protein (22); hypothetical_protein (1)
PC_00334,23,23.0,DNA_helicase (21); DNA_primase (2)
PC_00335,23,23.0,replication_initiation_protein (22); hypothetical_protein (1)
PC_00336,23,23.0,upper_collar_connector (23)
PC_00337,23,23.0,major_head_protein (23)
PC_00338,23,23.0,terminase (23)
PC_00339,23,23.0,hypothetical_protein (23)
PC_00340,23,23.0,holin (11); hypothetical_protein (12)
PC_00341,23,23.0,virion_structural_protein (23)
PC_00342,23,23.0,hypothetical_protein (23)
PC_00343,23,23.0,hypothetical_protein (23)
PC_00344,23,23.0,hypothetical_protein (23)
PC_00345,22,22.0,RecT-like_ssDNA_annealing_protein (22)
PC_00346,22,22.0,toxin (12); toxin-antitoxin_system_HicB-like_protein (8); hypothetical_protein (2)
PC_00347,22,22.0,tail_assembly_protein (22)
PC_00348,22,22.0,portal_protein (21); hypothetical_protein (1)
PC_00349,22,22.0,tail_fiber_protein (13); hypothetical_protein (9)
PC_00350,22,22.0,hypothetical_protein (13); tail_fiber_protein (9)
PC_00351,22,22.0,hypothetical_protein (22)
PC_00352,22,22.0,baseplate_protein (21); hypothetical_protein (1)
PC_00353,22,22.0,baseplate_protein (21); hypothetical_protein (1)
PC_00354,22,22.0,hypothetical_protein (22)
PC_00355,22,22.0,hypothetical_protein (16); DNA_binding_protein (6)
PC_00356,22,22.0,major_head_protein (22)
PC_00357,22,22.0,virion_structural_protein (22)
PC_00358,22,22.0,single_strand_DNA_binding_protein (22)
PC_00359,22,22.0,tail_protein (21); hypothetical_protein (1)
PC_00360,22,22.0,anti-sigma_factor (20); hypothetical_protein (2)
PC_00361,22,22.0,RusA-like_Holliday_junction_resolvase (21); hypothetical_protein (1)
PC_00362,22,22.0,hypothetical_protein (22)
PC_00363,22,22.0,hypothetical_protein (22)
PC_00364,22,22.0,distal_tail_protein (21); hypothetical_protein (1)
PC_00365,22,22.0,hypothetical_protein (22)
PC_00366,22,22.0,hypothetical_protein (8); single_strand_DNA_binding_protein (14)
PC_00367,22,22.0,virion_structural_protein (22)
PC_00368,21,21.0,hypothetical_protein (21)
PC_00369,21,21.0,hypothetical_protein (21)
PC_00370,21,21.0,hypothetical_protein (21)
PC_00371,21,21.0,head_maturation_protease (2); major_head_protein (19)
PC_00372,21,21.0,head_maturation_protease (17); hypothetical_protein (1); major_head_protein (3)
PC_00373,21,21.0,hypothetical_protein (8); transcriptional_repressor (12); transcriptional_regulator (1)
PC_00374,21,21.0,terminase_small_subunit (21)
PC_00375,21,21.0,hypothetical_protein (1); tail_terminator (20)
PC_00376,21,21.0,phosphatidylglycerophosphatase_A (19); hypothetical_protein (2)
PC_00377,21,21.0,baseplate_protein (15); hypothetical_protein (6)
PC_00378,21,21.0,hypothetical_protein (21)
PC_00379,21,21.0,hypothetical_protein (21)
PC_00380,21,21.0,hypothetical_protein (21)
PC_00381,21,21.0,hypothetical_protein (21)
PC_00382,21,21.0,hypothetical_protein (21)
PC_00383,21,21.0,hypothetical_protein (21)
PC_00384,21,21.0,baseplate_wedge_subunit (21)
PC_00385,21,21.0,hypothetical_protein (21)
PC_00386,21,21.0,terminase_large_subunit (21)
PC_00387,21,21.0,upper_collar_connector (21)
PC_00388,21,21.0,hypothetical_protein (13); endolysin (8)
PC_00389,21,21.0,adaptor_Ad4 (21)
PC_00390,21,21.0,hypothetical_protein (21)
PC_00391,21,21.0,hypothetical_protein (21)
PC_00392,21,21.0,hypothetical_protein (21)
PC_00393,20,20.0,exonuclease_VIII (18); hypothetical_protein (2)
PC_00394,20,20.0,hypothetical_protein (20)
PC_00395,20,20.0,hypothetical_protein (20)
PC_00396,20,20.0,hypothetical_protein (20)
PC_00397,20,20.0,hypothetical_protein (19); gam-like_host_nuclease_inhibitor (1)
PC_00398,20,20.0,hypothetical_protein (11); transcriptional_repressor (4); transcriptional_regulator (5)
PC_00399,20,20.0,hypothetical_protein (20)
PC_00400,20,20.0,hypothetical_protein (20)
PC_00401,20,20.0,hypothetical_protein (20)
PC_00402,20,20.0,integrase (18); hypothetical_protein (2)
PC_00403,20,20.0,hypothetical_protein (20)
PC_00404,20,20.0,tail_sheath (20)
PC_00405,20,20.0,baseplate_protein (19); hypothetical_protein (1)
PC_00406,20,20.0,hypothetical_protein (20)
PC_00407,20,20.0,thymidine_kinase (20)
PC_00408,20,20.0,hypothetical_protein (20)
PC_00409,20,20.0,hypothetical_protein (20)
PC_00410,20,20.0,DNA_helicase (19); hypothetical_protein (1)
PC_00411,20,20.0,hypothetical_protein (3); virion_structural_protein (17)
PC_00412,20,20.0,hypothetical_protein (20)
PC_00413,20,20.0,hypothetical_protein (20)
PC_00414,20,20.0,virion_structural_protein (20)
PC_00415,20,20.0,tail_protein (20)
PC_00416,20,20.0,head-tail_adaptor (20)
PC_00417,20,20.0,RNA_polymerase (19); hypothetical_protein (1)
PC_00418,20,20.0,tail_protein (19); hypothetical_protein (1)
PC_00419,20,20.0,tail_protein (20)
PC_00420,20,20.0,DNA_binding_protein (6); hypothetical_protein (14)
PC_00421,20,20.0,hypothetical_protein (20)
PC_00422,20,20.0,hypothetical_protein (20)
PC_00423,20,20.0,baseplate_assembly_protein (19); hypothetical_protein (1)
PC_00424,20,20.0,hypothetical_protein (20)
PC_00425,20,20.0,hypothetical_protein (20)
PC_00426,20,20.0,tail_protein (20)
PC_00427,20,20.0,upper_collar_connector (20)
PC_00428,20,20.0,hypothetical_protein (20)
PC_00429,20,20.0,virion_structural_protein (20)
PC_00430,20,20.0,hypothetical_protein (20)
PC_00431,20,20.0,hypothetical_protein (20)
PC_00432,20,20.0,hypothetical_protein (20)
PC_00433,20,20.0,hypothetical_protein (17); Holliday_junction_resolvase (2); endonuclease (1)
PC_00434,20,20.0,portal_protein (18); hypothetical_protein (2)
PC_00435,20,20.0,hypothetical_protein (20)
PC_00436,20,20.0,major_head_protein (20)
PC_00437,20,20.0,upper_collar_connector (20)
PC_00438,20,20.0,hypothetical_protein (20)
PC_00439,20,20.0,hypothetical_protein (20)
PC_00440,19,19.0,hypothetical_protein (2); replication_initiation_protein (16); DnaD-like_helicase_loader (1)
PC_00441,19,19.0,anti-repressor (2); hypothetical_protein (2); anti-repressor_Ant (15)
PC_00442,19,19.0,hypothetical_protein (19)
PC_00443,19,19.0,hypothetical_protein (19)
PC_00444,19,19.0,hypothetical_protein (3); head_morphogenesis (8); minor_head_protein (8)
PC_00445,19,19.0,hypothetical_protein (19)
PC_00446,19,19.0,hypothetical_protein (3); tail_fiber_protein (16)
PC_00447,19,19.0,hypothetical_protein (19)
PC_00448,19,19.0,DNA_methyltransferase (19)
PC_00449,19,19.0,hypothetical_protein (19)
PC_00450,19,19.0,head-tail_adaptor_Ad1 (18); head-tail_adaptor (1)
PC_00451,19,19.0,minor_tail_protein (19)
PC_00452,19,19.0,hypothetical_protein (17); DNA_methyltransferase (2)
PC_00453,19,19.0,transcriptional_regulator (19)
PC_00454,19,19.0,hypothetical_protein (19)
PC_00455,19,19.0,hypothetical_protein (19)
PC_00456,19,19.0,hypothetical_protein (19)
PC_00457,19,19.0,terminase_large_subunit (19)
